Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Average_Order_Value
CUST00001,185,4,118488.55,2,2,2,6,Lost Customers,29622.1375
CUST00002,49,5,155476.75,4,3,3,10,Potential Loyalists,31095.35
CUST00003,248,4,128902.35,2,2,2,6,Lost Customers,32225.5875
CUST00004,34,7,243725.1,5,4,4,13,Champions,34817.87142857143
CUST00005,317,6,86445.6,1,4,2,7,Others,14407.6
CUST00006,27,3,149903.25,5,1,3,9,Others,49967.75
CUST00007,454,7,420312.14999999997,1,4,5,10,At Risk,60044.59285714285
CUST00008,91,10,590188.05,4,5,5,14,Champions,59018.80500000001
CUST00009,44,10,389284.7,4,5,5,14,Champions,38928.47
CUST00010,82,7,431421.44999999995,4,4,5,13,Champions,61631.63571428571
CUST00011,59,5,246155.84999999998,4,3,4,11,Potential Loyalists,49231.17
CUST00012,342,4,563686.7,1,2,5,8,Lost Customers,140921.675
CUST00013,94,5,274692.3,4,3,4,11,Potential Loyalists,54938.46
CUST00014,191,2,173865.8,2,1,3,6,Lost Customers,86932.9
CUST00015,20,5,538818.7,5,3,5,13,Potential Loyalists,107763.73999999999
CUST00016,380,5,67574.45,1,3,1,5,Others,13514.89
CUST00017,139,7,238096.0,3,4,4,11,Loyal Customers,34013.71428571428
CUST00018,85,5,221707.15,4,3,4,11,Potential Loyalists,44341.43
CUST00019,140,3,15297.599999999999,3,1,1,5,Others,5099.2
CUST00020,190,3,131323.0,2,1,2,5,Lost Customers,43774.333333333336
CUST00021,38,5,149659.3,5,3,3,11,Potential Loyalists,29931.859999999997
CUST00022,21,7,216631.4,5,4,4,13,Champions,30947.342857142856
CUST00023,368,8,388750.65,1,5,5,11,At Risk,48593.83125
CUST00024,20,6,200779.19999999998,5,4,3,12,Loyal Customers,33463.2
CUST00025,66,5,176702.75,4,3,3,10,Potential Loyalists,35340.55
CUST00026,475,7,596969.05,1,4,5,10,At Risk,85281.29285714286
CUST00027,49,6,347100.7,4,4,5,13,Champions,57850.11666666667
CUST00028,203,7,283633.1,2,4,4,10,At Risk,40519.014285714286
CUST00029,86,3,148833.5,4,1,3,8,Others,49611.166666666664
CUST00030,381,7,278782.85,1,4,4,9,At Risk,39826.12142857142
CUST00031,581,2,167555.1,1,1,3,5,Lost Customers,83777.55
CUST00032,141,3,148108.2,3,1,3,7,Others,49369.4
CUST00033,73,9,245623.2,4,5,4,13,Champions,27291.466666666667
CUST00034,13,3,106395.1,5,1,2,8,Others,35465.03333333333
CUST00035,4,7,245037.65000000002,5,4,4,13,Champions,35005.37857142858
CUST00036,157,5,574478.1,3,3,5,11,Others,114895.62
CUST00037,165,5,251220.1,3,3,4,10,Others,50244.020000000004
CUST00038,365,5,484171.75,1,3,5,9,At Risk,96834.35
CUST00039,128,7,258873.75,3,4,4,11,Loyal Customers,36981.96428571428
CUST00040,3,10,229669.8,5,5,4,14,Champions,22966.98
CUST00041,220,2,84738.25,2,1,2,5,Lost Customers,42369.125
CUST00042,147,2,10514.85,3,1,1,5,Others,5257.425
CUST00043,451,3,227555.2,1,1,4,6,Lost Customers,75851.73333333334
CUST00044,29,3,215268.2,5,1,4,10,Others,71756.06666666667
CUST00045,183,8,237587.59999999998,2,5,4,11,At Risk,29698.449999999997
CUST00046,285,2,45341.85,2,1,1,4,Lost Customers,22670.925
CUST00047,178,5,240122.0,2,3,4,9,At Risk,48024.4
CUST00048,314,6,102575.05,1,4,2,7,Others,17095.841666666667
CUST00049,158,8,849995.5,3,5,5,13,Loyal Customers,106249.4375
CUST00050,62,7,91530.55,4,4,2,10,Loyal Customers,13075.792857142858
CUST00051,59,10,398569.8,4,5,5,14,Champions,39856.979999999996
CUST00052,47,6,372963.15,4,4,5,13,Champions,62160.525
CUST00053,86,7,167752.8,4,4,3,11,Loyal Customers,23964.68571428571
CUST00054,34,4,140452.4,5,2,3,10,Potential Loyalists,35113.1
CUST00055,168,3,377595.4,3,1,5,9,Others,125865.13333333335
CUST00056,225,6,704949.6,2,4,5,11,At Risk,117491.59999999999
CUST00057,52,8,511512.39999999997,4,5,5,14,Champions,63939.049999999996
CUST00058,192,8,530631.0,2,5,5,12,At Risk,66328.875
CUST00059,11,5,194565.25,5,3,3,11,Potential Loyalists,38913.05
CUST00060,100,7,134255.8,3,4,2,9,Loyal Customers,19179.399999999998
CUST00061,59,8,56692.3,4,5,1,10,Loyal Customers,7086.5375
CUST00062,152,4,488238.3,3,2,5,10,Others,122059.575
CUST00063,106,11,352219.39999999997,3,5,5,13,Loyal Customers,32019.94545454545
CUST00064,61,4,173878.0,4,2,3,9,Potential Loyalists,43469.5
CUST00065,293,5,83232.15,1,3,2,6,Others,16646.43
CUST00066,219,3,113521.3,2,1,2,5,Lost Customers,37840.433333333334
CUST00067,83,6,172448.4,4,4,3,11,Loyal Customers,28741.399999999998
CUST00068,148,5,334176.65,3,3,5,11,Others,66835.33
CUST00069,92,4,231071.0,4,2,4,10,Potential Loyalists,57767.75
CUST00070,76,4,43780.55,4,2,1,7,Potential Loyalists,10945.1375
