Customer_ID,Last_Purchase_Date,Frequency,Monetary,Recency,Average_Order_Value,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
CUST00001,2025-12-22,10,404803.60000000003,191,40480.36,2,4,4,244,10,At Risk
CUST00002,2026-06-25,9,223568.30000000002,6,24840.922222222223,5,3,3,533,11,Potential Loyalists
CUST00003,2025-08-09,5,49185.4,326,9837.08,1,2,1,121,4,Lost Customers
CUST00004,2026-03-27,26,1390888.5,96,53495.71153846154,3,5,5,355,13,Loyal Customers
CUST00005,2026-02-14,7,150572.4,137,21510.342857142856,3,3,2,332,8,Others
CUST00006,2026-01-16,4,52893.85,166,13223.4625,2,2,1,221,5,Lost Customers
CUST00007,2025-10-01,5,247822.65,273,49564.53,2,2,3,223,7,Others
CUST00008,2026-06-11,11,524098.4,20,47645.30909090909,5,4,4,544,13,Champions
CUST00009,2026-06-16,10,514580.7,15,51458.07,5,4,4,544,13,Champions
CUST00010,2026-01-13,1,54606.0,169,54606.0,2,1,1,211,4,Lost Customers
CUST00011,2026-06-25,5,305266.8,6,61053.36,5,2,3,523,10,Potential Loyalists
CUST00012,2026-02-14,11,650487.5499999999,137,59135.23181818181,3,4,5,345,12,Loyal Customers
CUST00013,2026-06-17,14,577711.0,14,41265.07142857143,5,5,4,554,14,Champions
CUST00014,2025-07-12,4,233897.0,354,58474.25,1,2,3,123,6,Others
CUST00015,2025-04-24,6,287446.3,433,47907.71666666667,1,3,3,133,7,At Risk
CUST00016,2026-01-30,9,324040.35,152,36004.48333333333,2,3,4,234,9,At Risk
CUST00017,2026-05-30,11,194521.15,32,17683.74090909091,4,4,3,443,11,Loyal Customers
CUST00018,2026-05-19,4,121651.7,43,30412.925,4,2,2,422,8,Potential Loyalists
CUST00019,2026-01-05,5,166364.25,177,33272.85,2,2,2,222,6,Lost Customers
CUST00020,2025-09-07,6,172646.7,297,28774.45,2,3,3,233,8,At Risk
CUST00021,2026-04-01,6,286768.05,91,47794.674999999996,3,3,3,333,9,Others
CUST00022,2026-05-24,11,736788.5,38,66980.77272727272,4,4,5,445,13,Champions
CUST00023,2026-06-29,7,154841.6,2,22120.22857142857,5,3,2,532,10,Potential Loyalists
CUST00024,2026-04-17,18,427088.35,75,23727.130555555555,3,5,4,354,12,Loyal Customers
CUST00025,2024-08-19,1,720.0,681,720.0,1,1,1,111,3,Lost Customers
CUST00026,2026-01-07,13,394919.5,175,30378.423076923078,2,4,4,244,10,At Risk
CUST00027,2024-12-07,2,25620.0,571,12810.0,1,1,1,111,3,Lost Customers
CUST00028,2024-10-09,3,148466.19999999998,630,49488.73333333333,1,1,2,112,4,Lost Customers
CUST00029,2026-04-20,7,341962.55,72,48851.79285714286,3,3,4,334,10,Others
CUST00030,2026-06-13,15,451094.5,18,30072.966666666667,5,5,4,554,14,Champions
CUST00031,2026-06-05,9,270898.4,26,30099.822222222225,5,3,3,533,11,Potential Loyalists
CUST00032,2026-04-20,3,126421.7,72,42140.566666666666,3,1,2,312,6,Others
CUST00033,2026-05-17,8,127734.35,45,15966.79375,4,3,2,432,9,Potential Loyalists
CUST00034,2025-08-10,3,47159.7,325,15719.9,1,1,1,111,3,Lost Customers
