Order_Date,Revenue,Quantity,Orders,Customers,Profit,Month,Year,Month_Index,Quantity_Lag_1,Quantity_Lag_2,Quantity_Lag_3,Quantity_Rolling_3
2024-01-01,127772447.35,4833,2898,2393,38279576.45,1,2024,0,,,,
2024-02-01,113962629.4,4447,2675,2269,34354345.95,2,2024,1,4833.0,,,
2024-03-01,117143041.55,4613,2840,2382,35435110.81,3,2024,2,4447.0,4833.0,,
2024-04-01,120194047.45,4689,2821,2328,36246483.21,4,2024,3,4613.0,4447.0,4833.0,4631.0
2024-05-01,122675072.5,4798,2901,2416,36554032.42,5,2024,4,4689.0,4613.0,4447.0,4583.0
2024-06-01,119435892.0,4641,2808,2359,35925233.37,6,2024,5,4798.0,4689.0,4613.0,4700.0
2024-07-01,125339757.1,4898,2965,2463,37778771.14,7,2024,6,4641.0,4798.0,4689.0,4709.333333333333
2024-08-01,122923290.65,4798,2888,2381,36593467.55,8,2024,7,4898.0,4641.0,4798.0,4779.0
2024-09-01,116488939.05,4475,2752,2321,34756772.66,9,2024,8,4798.0,4898.0,4641.0,4779.0
2024-10-01,120267621.35,4686,2867,2388,35973275.48,10,2024,9,4475.0,4798.0,4898.0,4723.666666666667
2024-11-01,115749715.65,4431,2738,2294,34488198.08,11,2024,10,4686.0,4475.0,4798.0,4653.0
2024-12-01,127133229.7,4883,2983,2446,37975498.47,12,2024,11,4431.0,4686.0,4475.0,4530.666666666667
2025-01-01,125411034.0,4834,2956,2463,38281381.73,1,2025,12,4883.0,4431.0,4686.0,4666.666666666667
2025-02-01,109440186.85,4127,2541,2178,32903716.0,2,2025,13,4834.0,4883.0,4431.0,4716.0
2025-03-01,119056870.65,4739,2896,2439,35633658.55,3,2025,14,4127.0,4834.0,4883.0,4614.666666666667
2025-04-01,119817022.85,4662,2875,2383,36062283.63,4,2025,15,4739.0,4127.0,4834.0,4566.666666666667
2025-05-01,116987167.7,4742,2908,2428,34738143.98,5,2025,16,4662.0,4739.0,4127.0,4509.333333333333
2025-06-01,114824259.45,4462,2709,2264,34330980.02,6,2025,17,4742.0,4662.0,4739.0,4714.333333333333
2025-07-01,122016928.55,4712,2919,2419,37079928.48,7,2025,18,4462.0,4742.0,4662.0,4622.0
2025-08-01,121741488.25,4888,2935,2425,36323036.45,8,2025,19,4712.0,4462.0,4742.0,4638.666666666667
2025-09-01,116729433.0,4519,2748,2312,35011407.73,9,2025,20,4888.0,4712.0,4462.0,4687.333333333333
2025-10-01,112951010.15,4474,2729,2264,33996099.8,10,2025,21,4519.0,4888.0,4712.0,4706.333333333333
2025-11-01,116540145.55,4417,2709,2233,34862729.21,11,2025,22,4474.0,4519.0,4888.0,4627.0
2025-12-01,116617716.05,4574,2804,2346,34988583.26,12,2025,23,4417.0,4474.0,4519.0,4470.0
2026-01-01,115252494.45,4290,2658,2225,34560459.9,1,2026,24,4574.0,4417.0,4474.0,4488.333333333333
2026-02-01,103057528.75,3910,2396,1969,30225899.9,2,2026,25,4290.0,4574.0,4417.0,4427.0
2026-03-01,117865524.05,4456,2721,2248,35146950.76,3,2026,26,3910.0,4290.0,4574.0,4258.0
2026-04-01,113282363.55,4407,2660,2226,33981946.53,4,2026,27,4456.0,3910.0,4290.0,4218.666666666667
2026-05-01,121995587.85,4497,2738,2214,36786472.98,5,2026,28,4407.0,4456.0,3910.0,4257.666666666667
2026-06-01,110877909.6,4166,2535,2120,33152448.56,6,2026,29,4497.0,4407.0,4456.0,4453.333333333333
